data_carga,UF_PROPONENTE,COD_MUNIC_IBGE,MUNIC_PROPONENTE,NR_PROPOSTA,DIA_PROPOSTA,MODALIDADE,NR_CONVENIO,ANO_Convenio,DIA_ASSIN_CONV,SIT_CONVENIO,INSTRUMENTO_ATIVO,PROGRAMA,ACAO,VL_GLOBAL_CONV,VL_REPASSE_CONV,VL_CONTRAPARTIDA_CONV,VL_EMPENHADO_CONV,VL_DESEMBOLSADO_CONV,VL_SALDO_REMAN_TESOURO,VL_SALDO_REMAN_CONVENENTE,VL_RENDIMENTO_APLICACAO,VL_INGRESSO_CONTRAPARTIDA,VL_SALDO_CONTA,VALOR_GLOBAL_ORIGINAL_CONV,NOME_FORNECEDOR,IDENTIF_FORNECEDOR,ANO_pgto,CATEGORIA_SUGERIDA,CATEGORIA_ROTAS,Divisao,VALOR_AGREGADO,QTD_AGREGADA,soma_vlr_agregado,UNIDADE_ITEM_INVESTIMENTO_META,MAX_QUANTIDADE_M2,custoM2,MEDIANA_CUSTO_M2,M2_estimado,KM_estimado
2026-06-01 06:52:13,RJ,3304557,RIO DE JANEIRO,4732/2008,2008-11-03,CONVENIO,700270,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,1025 - Promoção da Sustentabilidade de Espaços Sub-Regionais - PROMESO,,130600.0,126682.0,3918.0,126682.0,126682.0,7685.95,,,3918.0,0.0,,ANTONIO SALAZAR PESSOA BRANDAO,***90055***,2011.0,"Deslocamento (Diárias, Passagens, Locação e Combustível)",,Outros,235.17,0.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RJ,3304557,RIO DE JANEIRO,4732/2008,2008-11-03,CONVENIO,700270,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,1025 - Promoção da Sustentabilidade de Espaços Sub-Regionais - PROMESO,,130600.0,126682.0,3918.0,126682.0,126682.0,7685.95,,,3918.0,0.0,,FUNDACAO NORTE FLUMINENSE DE DESENVOLVIMENTO REGIONAL,28976710000170,2011.0,Outros serviços,,Outros,27500.0,0.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RJ,3304557,RIO DE JANEIRO,4732/2008,2008-11-03,CONVENIO,700270,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,1025 - Promoção da Sustentabilidade de Espaços Sub-Regionais - PROMESO,,130600.0,126682.0,3918.0,126682.0,126682.0,7685.95,,,3918.0,0.0,,RONALDO NOGUEIRA MARTINS,***68611***,2011.0,"Deslocamento (Diárias, Passagens, Locação e Combustível)",,Outros,4831.87,0.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RJ,3304557,RIO DE JANEIRO,4732/2008,2008-11-03,CONVENIO,700270,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,1025 - Promoção da Sustentabilidade de Espaços Sub-Regionais - PROMESO,,130600.0,126682.0,3918.0,126682.0,126682.0,7685.95,,,3918.0,0.0,,UNIVERSIDADE FEDERAL DE VICOSA,25944455000196,2011.0,Outros serviços,,Outros,17800.0,0.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RJ,3304557,RIO DE JANEIRO,4732/2008,2008-11-03,CONVENIO,700270,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,1025 - Promoção da Sustentabilidade de Espaços Sub-Regionais - PROMESO,,130600.0,126682.0,3918.0,126682.0,126682.0,7685.95,,,3918.0,0.0,,FUNDACAO NORTE FLUMINENSE DE DESENVOLVIMENTO REGIONAL,28976710000170,2012.0,Outros serviços,,Outros,8250.0,0.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RJ,3304557,RIO DE JANEIRO,4732/2008,2008-11-03,CONVENIO,700270,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,1025 - Promoção da Sustentabilidade de Espaços Sub-Regionais - PROMESO,,130600.0,126682.0,3918.0,126682.0,126682.0,7685.95,,,3918.0,0.0,,RONALDO NOGUEIRA MARTINS,***68611***,2012.0,"Deslocamento (Diárias, Passagens, Locação e Combustível)",,Outros,967.27,0.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,RJ,3304557,RIO DE JANEIRO,4732/2008,2008-11-03,CONVENIO,700270,2008,2008-12-31,Prestação de Contas Aprovada,NÃO,1025 - Promoção da Sustentabilidade de Espaços Sub-Regionais - PROMESO,,130600.0,126682.0,3918.0,126682.0,126682.0,7685.95,,,3918.0,0.0,,UNIVERSIDADE FEDERAL DE VICOSA,25944455000196,2012.0,Outros serviços,,Outros,10680.0,0.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,PR,4112207,JANIÓPOLIS,7686/2008,2008-11-12,CONVENIO,700613,2008,2008-12-18,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,105000.0,100000.0,5000.0,100000.0,100000.0,2431.63,,,5000.0,0.0,,CHIUMENTO IMPLEMENTOS AGRICOLAS EIRELI,05739830000159,2009.0,Carreta agrícola,Produção e Processamento de Laticínios,Equipamentos,20975.0,5.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,PR,4112207,JANIÓPOLIS,7686/2008,2008-11-12,CONVENIO,700613,2008,2008-12-18,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,105000.0,100000.0,5000.0,100000.0,100000.0,2431.63,,,5000.0,0.0,,SILVA MAQUINAS AGRICOLAS LTDA.,01837015000171,2009.0,Colhedora,Produção e Processamento de Laticínios,Equipamentos,45750.0,5.0,,,,,97.08365950681366,,
2026-06-01 06:52:13,PR,4112207,JANIÓPOLIS,7686/2008,2008-11-12,CONVENIO,700613,2008,2008-12-18,Prestação de Contas Aprovada,NÃO,0120 - Promoção do Desenvolvimento da Faixa de Fronteira,,105000.0,100000.0,5000.0,100000.0,100000.0,2431.63,,,5000.0,0.0,,TECNOINOX INDUSTRIA METALURGICA LTDA - EPP,05765933000193,2009.0,Máquinas e equipamentos diversos,Produção e Processamento de Laticínios,Outros,18600.0,0.0,,,,,97.08365950681366,,
